                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8649,                 1.6244,                0.86423,                0.76555,                0.66663,                0.72068,                0.35792,                 1.8987,                 1.0197,                0.85005,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.9252,                 1.0878,                0.87094,                0.76303,                0.66443,                0.71708,                0.34024,                 1.9506,                 1.0533,                0.85641,              0.0065013,              0.0065013,              0.0065013
                      3,                 2.0104,                 1.1605,                 0.8784,                0.75056,                 0.6461,                0.69074,                 0.3291,                 1.9706,                 1.1115,                0.86031,              0.0095046,              0.0095046,              0.0095046
                      4,                 2.0928,                 1.2453,                0.88739,                 0.7485,                0.64497,                0.68676,                0.32775,                 1.9813,                 1.1093,                0.86029,              0.0092575,              0.0092575,              0.0092575
                      5,                 2.0796,                 1.2224,                 0.8864,                0.74378,                0.64427,                0.68812,                0.32557,                 1.9746,                 1.1022,                0.86079,                0.00901,                0.00901,                0.00901
                      6,                 2.0785,                  1.222,                0.88674,                0.74168,                0.65527,                0.69448,                 0.3307,                 1.9785,                  1.096,                0.86056,              0.0087625,              0.0087625,              0.0087625
                      7,                 2.0488,                 1.1923,                 0.8844,                0.75214,                0.64206,                 0.7013,                0.33832,                  1.944,                 1.0703,                  0.857,               0.008515,               0.008515,               0.008515
                      8,                 2.0461,                 1.1926,                0.88134,                0.75407,                0.65893,                0.70977,                0.34666,                 1.9199,                 1.0603,                0.85684,              0.0082675,              0.0082675,              0.0082675
                      9,                  2.021,                 1.1719,                0.87957,                0.76428,                0.65893,                0.71027,                0.34883,                  1.905,                 1.0342,                0.85377,                0.00802,                0.00802,                0.00802
                     10,                 2.0107,                 1.1524,                0.87833,                0.75996,                0.66296,                0.71359,                0.35237,                 1.9002,                 1.0331,                0.85367,              0.0077725,              0.0077725,              0.0077725
                     11,                 2.0286,                 1.1699,                0.88047,                0.76387,                0.66984,                0.72196,                0.35992,                 1.8795,                 1.0197,                0.85149,               0.007525,               0.007525,               0.007525
                     12,                 1.9803,                 1.1377,                0.87665,                0.76347,                0.67139,                0.72619,                0.36206,                 1.8674,                 1.0112,                0.85024,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.9836,                 1.1401,                0.87474,                0.76262,                0.67115,                0.72619,                0.36534,                 1.8459,                 1.0027,                0.84864,                0.00703,                0.00703,                0.00703
                     14,                 1.9618,                 1.1163,                0.87391,                0.77258,                0.67689,                0.73432,                0.36985,                 1.8397,                0.99634,                0.84784,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.9442,                 1.1123,                0.86902,                0.78159,                0.67541,                0.73961,                0.37166,                 1.8297,                 0.9926,                0.84614,               0.006535,               0.006535,               0.006535
                     16,                  1.946,                 1.0981,                0.87072,                0.77585,                0.68078,                0.74045,                0.37699,                 1.8189,                 0.9868,                0.84547,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.9258,                 1.0851,                0.87048,                0.77795,                0.68005,                0.74377,                0.37816,                 1.8128,                0.97857,                0.84508,                0.00604,                0.00604,                0.00604
                     18,                 1.9074,                  1.069,                0.86763,                0.78296,                0.68361,                0.74856,                0.38177,                 1.8033,                0.96848,                0.84427,              0.0057925,              0.0057925,              0.0057925
                     19,                  1.891,                 1.0578,                0.86698,                0.78049,                0.68409,                0.74913,                  0.385,                 1.7985,                0.96528,                0.84369,               0.005545,               0.005545,               0.005545
                     20,                 1.8897,                  1.057,                0.86566,                0.78246,                0.68412,                0.75065,                0.38553,                 1.7909,                0.95939,                0.84276,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.8698,                 1.0422,                  0.863,                0.78271,                 0.6825,                0.75195,                0.38988,                 1.7788,                 0.9519,                0.84182,                0.00505,                0.00505,                0.00505
                     22,                 1.8576,                 1.0317,                0.86219,                0.78006,                0.68104,                0.75013,                0.38967,                 1.7778,                0.94969,                0.84126,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.8392,                 1.0201,                0.86042,                0.78266,                  0.683,                0.75351,                0.39151,                 1.7711,                0.94359,                0.84052,               0.004555,               0.004555,               0.004555
                     24,                 1.8199,                  1.003,                0.85776,                0.78309,                0.68984,                 0.7574,                0.39292,                  1.768,                0.94073,                0.84007,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.8103,                0.98951,                0.85798,                0.78285,                 0.6902,                0.75821,                0.39506,                 1.7588,                0.93931,                0.83953,                0.00406,                0.00406,                0.00406
                     26,                 1.7958,                0.98166,                0.85663,                0.78062,                0.69201,                0.75958,                0.39686,                 1.7542,                 0.9358,                 0.8388,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.7828,                0.97219,                0.85645,                0.78186,                0.69118,                0.76053,                0.39816,                  1.751,                0.93437,                0.83842,               0.003565,               0.003565,               0.003565
                     28,                 1.7673,                0.95838,                0.85271,                0.77838,                0.69484,                 0.7621,                0.40006,                 1.7481,                0.93207,                0.83811,              0.0033175,              0.0033175,              0.0033175
